id,name,surface_moisture,canopy_moisture,wind_speed_mps,wind_direction,surface,midstory,canopy,outside_surface_growth_rate,outside_canopy_consumption_rate,time_to_traverse_buffer,run_max_mem_rss_MB,elapsed_model_s,fuels_dens_surface_final_plot,link
f239b4d9-0bb1-470a-98c5-a6194268a489,St. Mary large ensemble,0.1,0.9,3.129,300,0.9317461848258972,0.4095161259174347,0.0112744495272636,-1,-1,-1,3818,22672,https://wifire-data.sdsc.edu/data/burnpro3d/d/f2/39/run_f239b4d9-0bb1-470a-98c5-a6194268a489/png/run_f239b4d9-0bb1-470a-98c5-a6194268a489_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/f2/39/run_f239b4d9-0bb1-470a-98c5-a6194268a489/quicfire.zarr
1f8c0cdd-a09f-4063-8059-c2e14628c721,St. Mary large ensemble,0.12,0.9,6.705,315,0.872785747051239,0.2803608477115631,0.004732521250844,-1,-1,-1,3818,12240,https://wifire-data.sdsc.edu/data/burnpro3d/d/1f/8c/run_1f8c0cdd-a09f-4063-8059-c2e14628c721/png/run_1f8c0cdd-a09f-4063-8059-c2e14628c721_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/1f/8c/run_1f8c0cdd-a09f-4063-8059-c2e14628c721/quicfire.zarr
bab65b13-8c06-412f-ba2f-bc53f700d2d9,St. Mary large ensemble,0.1,1.0,4.47,300,0.9229900240898132,0.3485672175884247,0.0085975034162402,-1,-1,-1,3818,13436,https://wifire-data.sdsc.edu/data/burnpro3d/d/ba/b6/run_bab65b13-8c06-412f-ba2f-bc53f700d2d9/png/run_bab65b13-8c06-412f-ba2f-bc53f700d2d9_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/ba/b6/run_bab65b13-8c06-412f-ba2f-bc53f700d2d9/quicfire.zarr
f6d2a42d-50d5-4fa7-9892-98e34c522efd,St. Mary large ensemble,0.25,0.9,4.47,300,0.7559903264045715,0.2830743789672851,0.0053741298615932,-1,-1,-1,3818,10583,https://wifire-data.sdsc.edu/data/burnpro3d/d/f6/d2/run_f6d2a42d-50d5-4fa7-9892-98e34c522efd/png/run_f6d2a42d-50d5-4fa7-9892-98e34c522efd_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/f6/d2/run_f6d2a42d-50d5-4fa7-9892-98e34c522efd/quicfire.zarr
7526961e-171b-4c70-b4f0-b8448c1e5c0b,St. Mary large ensemble,0.25,1.0,4.47,330,0.70635586977005,0.255099207162857,0.0047783944755792,-1,-1,-1,3818,13424,https://wifire-data.sdsc.edu/data/burnpro3d/d/75/26/run_7526961e-171b-4c70-b4f0-b8448c1e5c0b/png/run_7526961e-171b-4c70-b4f0-b8448c1e5c0b_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/75/26/run_7526961e-171b-4c70-b4f0-b8448c1e5c0b/quicfire.zarr
8d561fc7-89d5-4046-9ff1-1b8c37afd4e8,St. Mary large ensemble,0.1,0.9,6.705,315,0.902961790561676,0.2878650426864624,0.0059966039843857,-1,-1,-1,3818,16946,https://wifire-data.sdsc.edu/data/burnpro3d/d/8d/56/run_8d561fc7-89d5-4046-9ff1-1b8c37afd4e8/png/run_8d561fc7-89d5-4046-9ff1-1b8c37afd4e8_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/8d/56/run_8d561fc7-89d5-4046-9ff1-1b8c37afd4e8/quicfire.zarr
12d3d2d1-f7cc-4010-a5c8-82b15f9648de,St. Mary large ensemble,0.1,1.0,6.705,330,0.8859779238700867,0.2936769127845764,0.0052805440500378,-1,-1,-1,3818,9293,https://wifire-data.sdsc.edu/data/burnpro3d/d/12/d3/run_12d3d2d1-f7cc-4010-a5c8-82b15f9648de/png/run_12d3d2d1-f7cc-4010-a5c8-82b15f9648de_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/12/d3/run_12d3d2d1-f7cc-4010-a5c8-82b15f9648de/quicfire.zarr
d21ab72c-4688-4bbd-8d9b-b20b15dd9eef,St. Mary large ensemble,0.07,0.9,4.47,300,0.952682077884674,0.363754391670227,0.0076237455941736,-1,-1,-1,3818,13036,https://wifire-data.sdsc.edu/data/burnpro3d/d/d2/1a/run_d21ab72c-4688-4bbd-8d9b-b20b15dd9eef/png/run_d21ab72c-4688-4bbd-8d9b-b20b15dd9eef_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/d2/1a/run_d21ab72c-4688-4bbd-8d9b-b20b15dd9eef/quicfire.zarr
e3611e4d-9b47-41fd-9083-279f07435669,St. Mary large ensemble,0.25,1.0,3.129,300,0.744377076625824,0.3108215928077698,0.0094026112928986,-1,-1,-1,3818,11138,https://wifire-data.sdsc.edu/data/burnpro3d/d/e3/61/run_e3611e4d-9b47-41fd-9083-279f07435669/png/run_e3611e4d-9b47-41fd-9083-279f07435669_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/e3/61/run_e3611e4d-9b47-41fd-9083-279f07435669/quicfire.zarr
bf56af0f-86d7-4926-9090-7c1ac6d22439,St. Mary large ensemble,0.25,1.0,3.129,315,0.7274077534675598,0.3025292158126831,0.008602287620306,-1,-1,-1,3829,12310,https://wifire-data.sdsc.edu/data/burnpro3d/d/bf/56/run_bf56af0f-86d7-4926-9090-7c1ac6d22439/png/run_bf56af0f-86d7-4926-9090-7c1ac6d22439_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/bf/56/run_bf56af0f-86d7-4926-9090-7c1ac6d22439/quicfire.zarr
b140a094-4386-4037-a436-70709fe06365,St. Mary large ensemble,0.07,1.0,6.705,330,0.9306926727294922,0.3101241290569305,0.0040876013226807,-1,-1,-1,3822,13335,https://wifire-data.sdsc.edu/data/burnpro3d/d/b1/40/run_b140a094-4386-4037-a436-70709fe06365/png/run_b140a094-4386-4037-a436-70709fe06365_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/b1/40/run_b140a094-4386-4037-a436-70709fe06365/quicfire.zarr
886daa49-e221-4945-aba2-fc0103358b1e,St. Mary large ensemble,0.25,0.9,6.705,315,0.705200731754303,0.2265901416540146,0.0040674856863915,-1,-1,-1,3818,9639,https://wifire-data.sdsc.edu/data/burnpro3d/d/88/6d/run_886daa49-e221-4945-aba2-fc0103358b1e/png/run_886daa49-e221-4945-aba2-fc0103358b1e_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/88/6d/run_886daa49-e221-4945-aba2-fc0103358b1e/quicfire.zarr
b0f0efa2-57d8-4af7-8e8d-fca43821607c,St. Mary large ensemble,0.07,0.9,3.129,315,0.9500347375869752,0.413348525762558,0.0100335488095879,-1,-1,-1,3830,13385,https://wifire-data.sdsc.edu/data/burnpro3d/d/b0/f0/run_b0f0efa2-57d8-4af7-8e8d-fca43821607c/png/run_b0f0efa2-57d8-4af7-8e8d-fca43821607c_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/b0/f0/run_b0f0efa2-57d8-4af7-8e8d-fca43821607c/quicfire.zarr
89b549fb-3a84-46f2-9cb2-df3bb42593c0,St. Mary large ensemble,0.25,1.0,6.705,300,0.74855637550354,0.2384880483150482,0.0055484226904809,-1,-1,-1,3818,12565,https://wifire-data.sdsc.edu/data/burnpro3d/d/89/b5/run_89b549fb-3a84-46f2-9cb2-df3bb42593c0/png/run_89b549fb-3a84-46f2-9cb2-df3bb42593c0_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/89/b5/run_89b549fb-3a84-46f2-9cb2-df3bb42593c0/quicfire.zarr
96ccee6b-b5a6-42f5-88ef-2789f3e09167,St. Mary large ensemble,0.25,1.0,6.705,330,0.6783453226089478,0.2199821025133133,0.0042782071977853,-1,-1,-1,3818,11711,https://wifire-data.sdsc.edu/data/burnpro3d/d/96/cc/run_96ccee6b-b5a6-42f5-88ef-2789f3e09167/png/run_96ccee6b-b5a6-42f5-88ef-2789f3e09167_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/96/cc/run_96ccee6b-b5a6-42f5-88ef-2789f3e09167/quicfire.zarr
5bb480b7-3ac0-4c0e-9a30-2e79bcf6cc41,St. Mary large ensemble,0.1,0.9,6.705,330,0.8843464851379395,0.2941316664218902,0.0058876862749457,-1,-1,-1,3818,13389,https://wifire-data.sdsc.edu/data/burnpro3d/d/5b/b4/run_5bb480b7-3ac0-4c0e-9a30-2e79bcf6cc41/png/run_5bb480b7-3ac0-4c0e-9a30-2e79bcf6cc41_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/5b/b4/run_5bb480b7-3ac0-4c0e-9a30-2e79bcf6cc41/quicfire.zarr
bae5e21c-479a-4459-ac27-9b82b42f571e,St. Mary large ensemble,0.12,0.9,3.129,330,0.8961693048477173,0.3934376835823059,0.0085280807688832,-1,-1,-1,3818,13479,https://wifire-data.sdsc.edu/data/burnpro3d/d/ba/e5/run_bae5e21c-479a-4459-ac27-9b82b42f571e/png/run_bae5e21c-479a-4459-ac27-9b82b42f571e_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/ba/e5/run_bae5e21c-479a-4459-ac27-9b82b42f571e/quicfire.zarr
84fcc550-0cfb-4cb3-b895-a7b5d4d7b70e,St. Mary large ensemble,0.12,0.9,3.129,300,0.9096632599830629,0.3975250124931335,0.0117401704192161,-1,-1,-1,3819,13942,https://wifire-data.sdsc.edu/data/burnpro3d/d/84/fc/run_84fcc550-0cfb-4cb3-b895-a7b5d4d7b70e/png/run_84fcc550-0cfb-4cb3-b895-a7b5d4d7b70e_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/84/fc/run_84fcc550-0cfb-4cb3-b895-a7b5d4d7b70e/quicfire.zarr
